,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
353,-8.53,-1.66,36.98,0.12,-0.05,1.10
354,-8.02,-0.41,36.61,0.12,-0.05,1.11
355,-8.32,2.11,36.58,0.14,-0.05,1.11
356,-8.29,3.05,36.26,0.13,-0.05,1.11
357,-8.09,3.91,36.40,0.13,-0.05,1.12
358,-7.30,3.80,36.53,0.13,-0.05,1.11
359,-6.26,3.30,36.34,0.12,-0.06,1.13
360,-4.75,3.28,36.06,0.12,-0.06,1.12
361,-3.60,3.45,35.88,0.12,-0.06,1.13
362,-2.63,3.10,35.24,0.13,-0.05,1.12
363,-2.14,2.82,35.11,0.13,-0.06,1.12
364,-1.15,2.34,34.67,0.13,-0.05,1.12
365,-0.37,2.34,34.64,0.13,-0.05,1.11
366,-0.08,1.79,34.46,0.14,-0.05,1.12
367,0.92,1.80,34.15,0.13,-0.06,1.12
368,1.63,2.37,34.03,0.12,-0.05,1.12
369,1.91,1.92,33.86,0.12,-0.05,1.11
370,2.87,1.74,34.18,0.11,-0.05,1.11
371,3.51,0.60,34.63,0.11,-0.06,1.10
372,3.69,-0.09,34.60,0.12,-0.05,1.11
373,3.62,1.34,34.82,0.13,-0.04,1.10
374,3.48,2.93,34.58,0.13,-0.04,1.09
375,3.60,3.91,34.46,0.11,-0.04,1.10
376,4.31,4.14,34.96,0.11,-0.05,1.09
377,4.67,3.82,35.30,0.11,-0.05,1.10
378,4.99,3.63,35.01,0.12,-0.04,1.10
379,5.30,4.29,34.90,0.12,-0.04,1.10
380,5.47,4.17,34.56,0.11,-0.04,1.09
381,6.05,4.00,34.37,0.10,-0.04,1.08
382,6.41,3.24,34.17,0.09,-0.04,1.08
383,6.67,1.88,34.41,0.09,-0.04,1.07
384,7.11,0.41,34.41,0.09,-0.04,1.07
385,7.07,-0.84,34.70,0.10,-0.04,1.07
386,7.39,-2.00,34.47,0.11,-0.03,1.08
387,6.92,-2.32,34.70,0.11,-0.02,1.06
388,7.11,-1.34,33.91,0.12,-0.03,1.05
389,7.34,0.15,33.76,0.12,-0.02,1.05
390,6.55,1.27,33.44,0.13,-0.02,1.04
391,6.44,2.73,33.13,0.13,-0.02,1.03
392,5.85,2.99,33.15,0.13,-0.02,1.05
393,4.79,2.67,32.63,0.12,-0.03,1.03
394,3.77,2.31,32.20,0.11,-0.02,1.04
395,2.96,2.03,32.61,0.10,-0.02,1.04
396,2.66,1.73,32.49,0.10,-0.02,1.04
397,2.85,1.28,32.31,0.10,-0.03,1.03
398,3.01,0.67,32.00,0.09,-0.02,1.03
399,2.67,0.40,31.71,0.09,-0.03,1.02
400,2.63,-0.37,31.88,0.08,-0.03,1.02
