,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
381,-13.53,-8.81,-16.53,0.32,0.83,-0.77
382,-17.22,-10.61,-17.85,0.30,0.81,-0.72
383,-18.60,-11.53,-19.10,0.29,0.79,-0.65
384,-20.18,-11.19,-18.66,0.26,0.77,-0.61
385,-19.76,-11.31,-18.89,0.23,0.77,-0.57
386,-18.37,-11.19,-18.75,0.21,0.77,-0.55
387,-17.37,-11.73,-18.12,0.18,0.75,-0.51
388,-15.57,-10.08,-16.63,0.17,0.74,-0.47
389,-12.67,-10.12,-14.14,0.15,0.73,-0.44
390,-7.31,-5.19,-12.72,0.16,0.72,-0.38
391,-7.22,-5.94,-9.97,0.16,0.72,-0.42
392,-3.37,-6.21,-6.98,0.12,0.71,-0.41
393,0.14,-2.84,-4.41,0.15,0.71,-0.40
394,4.67,-1.63,-2.24,0.15,0.70,-0.41
395,9.19,-0.02,0.05,0.16,0.70,-0.41
396,13.40,1.08,1.82,0.17,0.72,-0.45
397,15.68,1.88,2.66,0.19,0.73,-0.47
398,17.48,3.15,3.16,0.20,0.74,-0.49
399,18.58,3.57,4.05,0.21,0.75,-0.52
400,19.36,4.50,4.69,0.23,0.76,-0.54
